dataset,model,feature_mode,feature_dim,noise_std,noise_seed,node_feature_mode,node_feature_dim,node_feature_noise_std,node_feature_noise_seed,base_lr,effective_lr,grad_clip_norm,epochs,max_events,temporal_sampling,temporal_stride,temporal_ratio,temporal_seed,primary_metric,test_primary,test_ndcg,test_auroc,test_ap,test_processed_events,test_labeled_timestamps,test_empty_label_events,test_label_batches,final_train_primary,final_train_ndcg,final_train_auroc,final_train_ap,final_val_primary,final_val_ndcg,final_val_auroc,final_val_ap
tgbn-trade,tgn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,20000,stride,25,0.5,42,ndcg,0.021338465835696308,0.021338465835696308,0.48980846489428037,0.3141924701922124,2315,3,2312,3,nan,nan,nan,nan,0.022634934617122102,0.022634934617122102,0.4984101038433292,0.3214615726890486
tgbn-trade,tgat,full,1,1.0,12345,none,0,1.0,54321,0.001,0.0001,1.0,1,20000,stride,25,0.5,42,ndcg,0.00952609012582327,0.00952609012582327,0.5120525456809142,0.3421005840996297,2315,3,2312,3,nan,nan,nan,nan,0.0074283892862711046,0.0074283892862711046,0.5091383750131946,0.3390135133700794
tgbn-trade,dyrep,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,20000,stride,25,0.5,42,ndcg,0.08174123566007331,0.08174123566007331,0.5729327177774326,0.36880317071593305,2315,3,2312,3,nan,nan,nan,nan,0.07889967197103417,0.07889967197103417,0.5932251609501082,0.39354764117235486
tgbn-trade,evolvegcn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,20000,stride,25,0.5,42,ndcg,0.1912755406119595,0.1912755406119595,0.5403078035153406,0.3560269468914032,2315,3,2312,3,nan,nan,nan,nan,0.18509368124719733,0.18509368124719733,0.5590702250037283,0.39217363006187617
tgbn-trade,sage,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,20000,stride,25,0.5,42,ndcg,0.05593332493716456,0.05593332493716456,0.4994517806059253,0.32748214602033276,2315,3,2312,3,nan,nan,nan,nan,0.052457345293262514,0.052457345293262514,0.5183499757892992,0.3447502356943599
tgbn-genre,tgn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,20000,stride,25,0.5,42,ndcg,0.3236874587382472,0.3236874587382472,nan,nan,20000,27,19973,155,nan,nan,nan,nan,nan,nan,nan,nan
tgbn-genre,tgat,full,1,1.0,12345,none,0,1.0,54321,0.001,0.0001,1.0,1,20000,stride,25,0.5,42,ndcg,0.006070461292421865,0.006070461292421865,nan,nan,20000,27,19973,155,nan,nan,nan,nan,nan,nan,nan,nan
tgbn-genre,dyrep,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,20000,stride,25,0.5,42,ndcg,0.32792820432155484,0.32792820432155484,nan,nan,20000,27,19973,155,nan,nan,nan,nan,nan,nan,nan,nan
tgbn-genre,evolvegcn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,20000,stride,25,0.5,42,ndcg,0.33710391188091454,0.33710391188091454,nan,nan,20000,27,19973,155,nan,nan,nan,nan,nan,nan,nan,nan
tgbn-genre,sage,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,20000,stride,25,0.5,42,ndcg,0.3431854345624183,0.3431854345624183,nan,nan,20000,27,19973,155,nan,nan,nan,nan,nan,nan,nan,nan
