dataset,model,feature_mode,noise_std,noise_seed,base_lr,effective_lr,grad_clip_norm,epochs,max_events,temporal_sampling,temporal_stride,temporal_ratio,temporal_seed,primary_metric,test_primary,test_ndcg,test_auroc,test_ap,test_processed_events,test_labeled_timestamps,test_empty_label_events,test_label_batches,final_train_primary,final_train_ndcg,final_train_auroc,final_train_ap,final_val_primary,final_val_ndcg,final_val_auroc,final_val_ap
tgbn-trade,tgn,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.0404896845172376,0.0404896845172376,0.507060401961346,0.353081466261397,5000,1,4999,4,nan,nan,nan,nan,0.04345363767253192,0.04345363767253192,0.5122071384333879,0.2786870365308938
tgbn-trade,tgat,full,1.0,12345,0.001,0.0001,1.0,1,5000,none,2,0.5,42,ndcg,0.06971305128162504,0.06971305128162504,0.5354328605947711,0.371435581680742,5000,1,4999,4,nan,nan,nan,nan,0.034435602166948784,0.034435602166948784,0.5344272459804156,0.28638223806013385
tgbn-trade,dyrep,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.060951572123539494,0.060951572123539494,0.5024240650295553,0.34097562446874974,5000,1,4999,4,nan,nan,nan,nan,0.06121920396677926,0.06121920396677926,0.513110491892644,0.26861497972228277
tgbn-trade,evolvegcn,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.020442919712264238,0.020442919712264238,0.4995550383122884,0.33528650710483526,5000,1,4999,4,nan,nan,nan,nan,0.014692077242439741,0.014692077242439741,0.49506693100979554,0.25613627520370785
tgbn-genre,tgn,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.010659644092442822,0.010659644092442822,0.5222030866374807,0.025009517424168237,5000,1,4999,162,0.020302355879898586,0.020302355879898586,0.5606484730901059,0.05156845068874979,0.015720957439716916,0.015720957439716916,0.5153380517797026,0.022473745533244018
tgbn-genre,tgat,full,1.0,12345,0.001,0.0001,1.0,1,5000,none,2,0.5,42,ndcg,0.009304810624426623,0.009304810624426623,0.5243378745221543,0.021889102290364254,5000,1,4999,162,0.0025767495814723036,0.0025767495814723036,0.5273857977058609,0.04520491703034332,0.007110076219546955,0.007110076219546955,0.5239801150012101,0.020575900787105233
tgbn-genre,dyrep,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.004139154489585654,0.004139154489585654,0.45718093096516776,0.02066403937794296,5000,1,4999,162,0.010137871723440002,0.010137871723440002,0.4756147112597564,0.0405086382286649,0.0019060741456424113,0.0019060741456424113,0.4830874065701037,0.02090303608242937
tgbn-genre,evolvegcn,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.006716676777648224,0.006716676777648224,0.5008292485630396,0.02216987429682199,5000,1,4999,162,0.0035222182621635037,0.0035222182621635037,0.5293184671860351,0.046355208062560924,0.006107013587714475,0.006107013587714475,0.5088252296020294,0.022180121666531452
tgbn-trade,tgn,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.04533080955285467,0.04533080955285467,0.5481105595290443,0.3687010781711275,5000,1,4999,4,nan,nan,nan,nan,0.05235477911675521,0.05235477911675521,0.5447133646336998,0.28749457388440824
tgbn-trade,tgat,gaussian_noise,1.0,12345,0.001,0.0001,1.0,1,5000,none,2,0.5,42,ndcg,0.023219124684136085,0.023219124684136085,0.5289737665233681,0.3586826571341901,5000,1,4999,4,nan,nan,nan,nan,0.032931842796322865,0.032931842796322865,0.5293763417802988,0.2782775727119473
tgbn-trade,dyrep,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.029544663854484482,0.029544663854484482,0.5124049037032864,0.3496670458825214,5000,1,4999,4,nan,nan,nan,nan,0.02586397079806271,0.02586397079806271,0.507133655709354,0.26867412233728366
tgbn-trade,evolvegcn,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.012411006607038203,0.012411006607038203,0.5014788246661313,0.3384587217206189,5000,1,4999,4,nan,nan,nan,nan,0.016695149564107163,0.016695149564107163,0.5054574523011609,0.2647450555449051
tgbn-genre,tgn,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.012333508365739774,0.012333508365739774,0.48493551767922105,0.021773154208094333,5000,1,4999,162,0.014316495999807775,0.014316495999807775,0.5093263145484029,0.04470247899980022,0.014959358956271516,0.014959358956271516,0.4803736270082353,0.020431019581262526
tgbn-genre,tgat,gaussian_noise,1.0,12345,0.001,0.0001,1.0,1,5000,none,2,0.5,42,ndcg,0.019904913096728094,0.019904913096728094,0.5411602778818204,0.025166014559417513,5000,1,4999,162,0.01559049394875377,0.01559049394875377,0.5244580353776462,0.05275307994854676,0.024178455105436363,0.024178455105436363,0.5443985968753681,0.02446865058225191
tgbn-trade,tgn,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.00962583303444277,0.00962583303444277,0.49081860934453503,0.3254775358179776,5000,1,4999,1,nan,nan,nan,nan,0.013594213326095367,0.013594213326095367,0.4918200716362249,0.318883756735329
tgbn-trade,tgat,full,1.0,12345,0.001,0.0001,1.0,1,5000,none,2,0.5,42,ndcg,0.029519368643807276,0.029519368643807276,0.4951258323792497,0.3265912944819611,5000,1,4999,1,nan,nan,nan,nan,0.030218955213188865,0.030218955213188865,0.49824989423841276,0.323081064420477
tgbn-trade,dyrep,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.08134132577497466,0.08134132577497466,0.545194111664751,0.3812475350127326,5000,1,4999,1,nan,nan,nan,nan,0.0859717846934328,0.0859717846934328,0.5374970397357121,0.3671019757223757
tgbn-trade,evolvegcn,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.03840729711051641,0.03840729711051641,0.4853280486430257,0.33535464539108134,5000,1,4999,1,nan,nan,nan,nan,0.0410502052405677,0.0410502052405677,0.48776765435587954,0.3292873523289798
tgbn-genre,tgn,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,nan,nan,nan,nan,5000,0,5000,0,0.020157064318580088,0.020157064318580088,0.5127192423521765,0.04888252807488758,0.025383939058052835,0.025383939058052835,0.5014829637164584,0.02526474310597305
tgbn-genre,tgat,full,1.0,12345,0.001,0.0001,1.0,1,5000,none,2,0.5,42,ndcg,nan,nan,nan,nan,5000,0,5000,0,0.06810805194462409,0.06810805194462409,0.4994320038194593,0.051012125014615696,0.07453550132454152,0.07453550132454152,0.4922632412142841,0.029308365241820216
tgbn-genre,dyrep,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,nan,nan,nan,nan,5000,0,5000,0,0.007095230117936362,0.007095230117936362,0.4653014842371803,0.04040567133910895,0.005589488334103353,0.005589488334103353,0.41318430057572486,0.018921092116299127
tgbn-genre,evolvegcn,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,nan,nan,nan,nan,5000,0,5000,0,0.01719211092228574,0.01719211092228574,0.4952623679934735,0.044291409883180616,0.005213080232454023,0.005213080232454023,0.459226348117024,0.020027601488991874
tgbn-trade,tgn,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.03360504798954136,0.03360504798954136,0.49052072887244635,0.3317682954735046,5000,1,4999,1,nan,nan,nan,nan,0.03216230519815248,0.03216230519815248,0.4904689807644705,0.32882477656935594
tgbn-trade,tgat,gaussian_noise,1.0,12345,0.001,0.0001,1.0,1,5000,none,2,0.5,42,ndcg,0.03166131520280294,0.03166131520280294,0.5129406453316712,0.3361356205592238,5000,1,4999,1,nan,nan,nan,nan,0.031499837639779614,0.031499837639779614,0.5078348647786683,0.3265997730990704
tgbn-trade,dyrep,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.021552477920796214,0.021552477920796214,0.4781392626487001,0.32432697313311254,5000,1,4999,1,nan,nan,nan,nan,0.03148570009287993,0.03148570009287993,0.48288366589322607,0.3215936741823466
tgbn-trade,evolvegcn,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.039542714310422826,0.039542714310422826,0.5163885176128655,0.3595750477762647,5000,1,4999,1,nan,nan,nan,nan,0.039631123898327694,0.039631123898327694,0.5113693986291008,0.35073731187065965
tgbn-genre,tgn,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,nan,nan,nan,nan,5000,0,5000,0,0.00763953951343494,0.00763953951343494,0.5378634654590996,0.04770546079041734,0.007795119212527908,0.007795119212527908,0.5089751723191102,0.023160874633681806
tgbn-genre,tgat,gaussian_noise,1.0,12345,0.001,0.0001,1.0,1,5000,none,2,0.5,42,ndcg,nan,nan,nan,nan,5000,0,5000,0,0.01484632280200605,0.01484632280200605,0.5677773030085544,0.05483768965337901,0.0068593439223831355,0.0068593439223831355,0.5474104914328817,0.02549062446503593
tgbn-genre,dyrep,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,nan,nan,nan,nan,5000,0,5000,0,0.01469413105474949,0.01469413105474949,0.525766032960371,0.04834472247828158,0.010104501244210138,0.010104501244210138,0.5173377725692128,0.02548896576909946
tgbn-genre,evolvegcn,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,nan,nan,nan,nan,5000,0,5000,0,0.013858052928598909,0.013858052928598909,0.5513532280219003,0.05327180503477352,0.03055808982004079,0.03055808982004079,0.5078627356625713,0.028005793499831406
tgbn-trade,tgn,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.03998548651333122,0.03998548651333122,0.4575453450009691,0.3179497753295053,5000,1,4999,4,nan,nan,nan,nan,0.02132644961707356,0.02132644961707356,0.4692344951399247,0.24717377610408575
tgbn-trade,tgat,full,1.0,12345,0.001,0.0001,1.0,1,5000,none,2,0.5,42,ndcg,0.025045357543707864,0.025045357543707864,0.49479745314566514,0.3389479307463533,5000,1,4999,4,nan,nan,nan,nan,0.025043087413930763,0.025043087413930763,0.4845848017256375,0.2530515117955055
tgbn-trade,dyrep,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.029869569840202132,0.029869569840202132,0.48936485755537523,0.335736292455186,5000,1,4999,4,nan,nan,nan,nan,0.032460618039575506,0.032460618039575506,0.4843126044033367,0.2555193280923619
tgbn-trade,evolvegcn,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.03700122709566616,0.03700122709566616,0.5328659719764031,0.36740197835367694,5000,1,4999,4,nan,nan,nan,nan,0.02506762251200243,0.02506762251200243,0.5222647422989584,0.275965306745911
tgbn-genre,tgn,full,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.008305673387765533,0.008305673387765533,0.48943098226914095,0.02145997536862261,5000,1,4999,162,0.013308355700934365,0.013308355700934365,0.5164207564647487,0.0497899419310704,0.01108711949141182,0.01108711949141182,0.49320157812156185,0.020016677501827167
tgbn-trade,tgn,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.006084197416196527,0.006084197416196527,0.5058061751151406,0.3319555738090346,5000,1,4999,4,nan,nan,nan,nan,0.008437457095918432,0.008437457095918432,0.5107394585194082,0.2603666094660549
tgbn-trade,tgat,gaussian_noise,1.0,12345,0.001,0.0001,1.0,1,5000,none,2,0.5,42,ndcg,0.021573099820334344,0.021573099820334344,0.4836981829248473,0.3269995293930835,5000,1,4999,4,nan,nan,nan,nan,0.01727337970195481,0.01727337970195481,0.48731696939981206,0.2534042185556207
tgbn-trade,dyrep,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.021136045735334865,0.021136045735334865,0.5230459963370763,0.36061226060608353,5000,1,4999,4,nan,nan,nan,nan,0.016826379223506896,0.016826379223506896,0.5132411098268586,0.27362285466539205
tgbn-trade,evolvegcn,gaussian_noise,1.0,12345,0.001,0.001,1.0,1,5000,none,2,0.5,42,ndcg,0.004221164099657941,0.004221164099657941,0.5023817221032889,0.32677050638485033,5000,1,4999,4,nan,nan,nan,nan,0.004269472499550564,0.004269472499550564,0.501049278913854,0.2539695072364688
tgbn-trade,tgn,full,1.0,12345,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.019637825802263007,0.019637825802263007,0.5069932352482646,0.3412730319754685,50000,3,49997,4,0.015253717610150222,0.015253717610150222,0.5138425234639652,0.19217997585640784,0.014939826500473211,0.014939826500473211,0.5036741467060082,0.28114810709557286
tgbn-trade,tgat,full,1.0,12345,0.001,0.0001,1.0,1,50000,none,2,0.5,42,ndcg,0.009221093551392568,0.009221093551392568,0.491420350733695,0.32535877078994646,50000,3,49997,4,0.004171643444726621,0.004171643444726621,0.48676648914146126,0.17583022791419065,0.009588451696523281,0.009588451696523281,0.49061836254684976,0.274865729383011
tgbn-trade,dyrep,full,1.0,12345,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.03541900165370489,0.03541900165370489,0.5197039706303814,0.3585194707011561,50000,3,49997,4,0.04026993773174221,0.04026993773174221,0.5187218135086592,0.20739078993029597,0.03667463839228774,0.03667463839228774,0.5124240436060636,0.302637831253294
tgbn-trade,evolvegcn,full,1.0,12345,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.07370878668641696,0.07370878668641696,0.4957863883379595,0.3605064449562677,50000,3,49997,4,0.030026191996957788,0.030026191996957788,0.4900417636084562,0.19107311521261644,0.06830290235804383,0.06830290235804383,0.4965945715314118,0.3071310350230908
tgbn-genre,tgn,full,1.0,12345,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.010120452866065496,0.010120452866065496,0.5200768023065203,0.022388472339840836,50000,4,49996,162,0.030280418714042558,0.030280418714042558,0.5549502473773119,0.02742090574852355,0.017752619189678787,0.017752619189678787,0.4806787380676809,0.020629582922653433
tgbn-genre,tgat,full,1.0,12345,0.001,0.0001,1.0,1,50000,none,2,0.5,42,ndcg,0.0029633544162659454,0.0029633544162659454,0.4840495200063608,0.021177544783878784,50000,4,49996,162,0.015012481701256403,0.015012481701256403,0.49685909986837584,0.02206449096058919,0.0023786456972161862,0.0023786456972161862,0.4794714038729657,0.01968084004015266
tgbn-genre,dyrep,full,1.0,12345,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.17802631834593569,0.17802631834593569,0.6096615715505231,0.027746052558736946,50000,4,49996,162,0.014967807797073199,0.014967807797073199,0.5584654335314002,0.025959295397226675,0.05235639304954905,0.05235639304954905,0.572199695924281,0.02672927482123871
tgbn-genre,evolvegcn,full,1.0,12345,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.20283012286725458,0.20283012286725458,0.5814555964946406,0.03211387931056345,50000,4,49996,162,0.026284433263410394,0.026284433263410394,0.5596077486814373,0.028199440766922493,0.14226058736441435,0.14226058736441435,0.5778687032587108,0.044332298386736954
tgbn-trade,tgn,gaussian_noise,128,1.0,12345,0.1,100,1000.0,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.08108584574806335,0.08108584574806335,0.5078656607909374,0.354861192207106,50000,3,49997,4,0.0738825369723833,0.0738825369723833,0.5087871572825005,0.19864848966517115,0.0700279619349444,0.0700279619349444,0.4956233604346297,0.29549669796797795
tgbn-trade,tgat,gaussian_noise,128,1.0,12345,0.1,100,1000.0,0.001,0.0001,1.0,1,50000,none,2,0.5,42,ndcg,0.014806453659156261,0.014806453659156261,0.474597569865572,0.32239245939919203,50000,3,49997,4,0.007049137882138199,0.007049137882138199,0.4540115048618455,0.1626070338629916,0.012413177771357977,0.012413177771357977,0.46860191910262405,0.26376292833055703
tgbn-trade,dyrep,gaussian_noise,128,1.0,12345,0.1,100,1000.0,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.022496103056071252,0.022496103056071252,0.4817206039493587,0.3280927292265864,50000,3,49997,4,0.014608262123865465,0.014608262123865465,0.4804720748399524,0.17601320322120217,0.02169379895779684,0.02169379895779684,0.4673656716982807,0.26738596729844494
tgbn-trade,evolvegcn,gaussian_noise,128,1.0,12345,0.1,100,1000.0,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.021719016999270774,0.021719016999270774,0.4971395188243871,0.32842707170923835,50000,3,49997,4,0.02380677923519011,0.02380677923519011,0.5098320994165139,0.18549598345058863,0.01090383572129614,0.01090383572129614,0.4816288658662249,0.27023937439188994
tgbn-genre,tgn,gaussian_noise,128,1.0,12345,0.1,100,1000.0,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.041965019833813046,0.041965019833813046,0.5158207988999375,0.022894125730323595,50000,4,49996,162,0.08323089392105862,0.08323089392105862,0.544004503382787,0.03034988417889453,0.014988350318121298,0.014988350318121298,0.5489301072597299,0.023864349510225747
tgbn-genre,tgat,gaussian_noise,128,1.0,12345,0.1,100,1000.0,0.001,0.0001,1.0,1,50000,none,2,0.5,42,ndcg,0.00449965017862219,0.00449965017862219,0.4939307228501574,0.021316230412013023,50000,4,49996,162,0.003062276037713363,0.003062276037713363,0.5099846383767211,0.021798973072603325,0.005369521303322596,0.005369521303322596,0.4931009907239544,0.01992253098575049
tgbn-genre,dyrep,gaussian_noise,128,1.0,12345,0.1,100,1000.0,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.053950679036070974,0.053950679036070974,0.5345684824099742,0.023393619535982277,50000,4,49996,162,0.004155789809989497,0.004155789809989497,0.5130459229776189,0.02239010366899115,0.015251896660233136,0.015251896660233136,0.5121525207566544,0.02201777484257598
tgbn-genre,evolvegcn,gaussian_noise,128,1.0,12345,0.1,100,1000.0,0.001,0.001,1.0,1,50000,none,2,0.5,42,ndcg,0.01168788490106397,0.01168788490106397,0.5477419593015258,0.02535872221439482,50000,4,49996,162,0.024438028308360133,0.024438028308360133,0.5621549775691372,0.027672880260191678,0.08316932136014332,0.08316932136014332,0.5776563430384883,0.03657366045912127
