dataset,model,feature_mode,feature_dim,noise_std,noise_seed,node_feature_mode,node_feature_dim,node_feature_noise_std,node_feature_noise_seed,base_lr,effective_lr,grad_clip_norm,epochs,max_events,temporal_sampling,temporal_stride,temporal_ratio,temporal_seed,primary_metric,test_primary,test_ndcg,test_auroc,test_ap,test_processed_events,test_labeled_timestamps,test_empty_label_events,test_label_batches,final_train_primary,final_train_ndcg,final_train_auroc,final_train_ap,final_val_primary,final_val_ndcg,final_val_auroc,final_val_ap
tgbn-trade,tgn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,6000,stride,25,0.5,42,ndcg,0.005615747503102737,0.005615747503102737,0.4852474312464325,0.31184755778636253,2315,3,2312,3,0.003700611637962448,0.003700611637962448,0.4406263268742537,0.18245204428259923,0.0037186646150817976,0.0037186646150817976,0.4791794659194356,0.2908542641000055
tgbn-trade,tgat,full,1,1.0,12345,none,0,1.0,54321,0.001,0.0001,1.0,1,6000,stride,25,0.5,42,ndcg,0.022950349731657663,0.022950349731657663,0.5012089078039939,0.3261773131001149,2315,3,2312,3,0.010448580611509696,0.010448580611509696,0.4969846464609379,0.19853753436286659,0.01050153597132881,0.01050153597132881,0.48441277147337714,0.30590260982108325
tgbn-trade,dyrep,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,6000,stride,25,0.5,42,ndcg,0.00937086616245026,0.00937086616245026,0.4862218066618219,0.3235015590636633,2315,3,2312,3,0.007665394999987105,0.007665394999987105,0.4411360982252129,0.18666772997156122,0.011439462461401744,0.011439462461401744,0.47718207949494235,0.30482133609656437
tgbn-trade,evolvegcn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,6000,stride,25,0.5,42,ndcg,0.11883168424599096,0.11883168424599096,0.4909823331847004,0.3317724338519706,2315,3,2312,3,0.04365420634234083,0.04365420634234083,0.47399668363836267,0.20368622185849394,0.10264300419338261,0.10264300419338261,0.5047022707898793,0.32950419363535177
tgbn-trade,tgn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.04663428251639272,0.04663428251639272,0.4964427454832253,0.3278310136504008,2315,3,2312,3,0.033807171219826015,0.033807171219826015,0.43436649346855893,0.21443204669972166,0.041614558673892584,0.041614558673892584,0.5123661953306257,0.33890816489555725
tgbn-trade,tgat,full,1,1.0,12345,none,0,1.0,54321,0.001,0.0001,1.0,1,10000,stride,25,0.5,42,ndcg,0.05830966921895003,0.05830966921895003,0.5121448497869486,0.3463249459549098,2315,3,2312,3,0.023061712121624403,0.023061712121624403,0.495669678911993,0.24074349360014408,0.05426054384714681,0.05426054384714681,0.5119081554259657,0.3397529612469038
tgbn-trade,dyrep,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.04419244813997326,0.04419244813997326,0.48881303580492597,0.3256288114490917,2315,3,2312,3,0.05057847696638255,0.05057847696638255,0.42901255295495777,0.219831764818226,0.04220715387235015,0.04220715387235015,0.49674000073424646,0.33242681167056437
tgbn-trade,evolvegcn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.10536238841471417,0.10536238841471417,0.549612753076546,0.3572449027808428,2315,3,2312,3,0.08794807166755993,0.08794807166755993,0.43651734746395926,0.21528222598899927,0.09779964224142904,0.09779964224142904,0.5535501970426173,0.36622396243206023
tgbn-trade,sage,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.03693721384144245,0.03693721384144245,0.5136403588829265,0.3328323467584338,2315,3,2312,3,0.05826753169297165,0.05826753169297165,0.4425065683111992,0.224533435801282,0.04149783526557686,0.04149783526557686,0.5290889286163514,0.34205229763640643
tgbn-genre,tgn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.31788836411850163,0.31788836411850163,0.7714701080725193,0.057690677203538585,10000,15,9985,160,0.2192516883699759,0.2192516883699759,0.6526741109791219,0.028404067478207694,0.3284648482454291,0.3284648482454291,0.7257349645651416,0.13806903374989696
tgbn-genre,tgat,full,1,1.0,12345,none,0,1.0,54321,0.001,0.0001,1.0,1,10000,stride,25,0.5,42,ndcg,0.007288282886165523,0.007288282886165523,0.4699161986945972,0.020333916503876375,10000,15,9985,160,0.010140652891515627,0.010140652891515627,0.47258834666683747,0.0196225072040256,0.0067733883522297705,0.0067733883522297705,0.4630966943067677,0.01893165930223945
tgbn-genre,dyrep,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.31372458402711023,0.31372458402711023,0.7673999437438881,0.056023224503889545,10000,15,9985,160,0.2264499368542995,0.2264499368542995,0.6405937056980038,0.02834427326360022,0.291635310111692,0.291635310111692,0.7198967857932477,0.12950698679749564
tgbn-genre,evolvegcn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.3429140987431952,0.3429140987431952,0.8017975011407956,0.1392980971642955,10000,15,9985,160,0.25546269533912935,0.25546269533912935,0.6714800048756067,0.031494801129322084,0.34852137131315536,0.34852137131315536,0.7795159357750543,0.1591862303247623
tgbn-genre,sage,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.3389257501580663,0.3389257501580663,0.7732393981813364,0.06729638233641903,10000,15,9985,160,0.2753170218750771,0.2753170218750771,0.7073398472726282,0.03721205237808288,0.34127542234245073,0.34127542234245073,0.729341742306021,0.14574078911565305
tgbn-trade,tgn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.016740359389965372,0.016740359389965372,0.4750375916530528,0.31725581589848373,2315,3,2312,3,0.02405069423437683,0.02405069423437683,0.4207709478088673,0.21131421016665636,0.023007025302693964,0.023007025302693964,0.48038866637190736,0.32406887686940333
tgbn-trade,tgat,full,1,1.0,12345,none,0,1.0,54321,0.001,0.0001,1.0,1,10000,stride,25,0.5,42,ndcg,0.039791072080989434,0.039791072080989434,0.5086229107688047,0.34934642539017463,2315,3,2312,3,0.02943496053413051,0.02943496053413051,0.5046361544898348,0.24632906066010446,0.02202587450997681,0.02202587450997681,0.507543450106396,0.33587900968148526
tgbn-trade,dyrep,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.02493882093172495,0.02493882093172495,0.49626084463237613,0.3156455731263546,2315,3,2312,3,0.01404324889652801,0.01404324889652801,0.41970895256093976,0.20687149430997553,0.013856165069801281,0.013856165069801281,0.5115956749084477,0.3239751525767039
tgbn-trade,evolvegcn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.12165320372730747,0.12165320372730747,0.4889986705089624,0.32119310126056466,2315,3,2312,3,0.03673343900282316,0.03673343900282316,0.4189434412359496,0.20430353824149194,0.11139432496079225,0.11139432496079225,0.497464071641834,0.3310245062413142
tgbn-trade,sage,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.033179763041768534,0.033179763041768534,0.5044853542190846,0.3262122434194183,2315,3,2312,3,0.01876798897590358,0.01876798897590358,0.42753841095093403,0.20901185889859145,0.029846871831921563,0.029846871831921563,0.5198644999432656,0.3329959182132999
tgbn-genre,tgn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.3301489387277291,0.3301489387277291,0.7720660668612942,0.06017190844632462,10000,15,9985,160,0.22469841971688817,0.22469841971688817,0.6489856177794331,0.029515017141150072,0.33310133929420904,0.33310133929420904,0.7262493823905491,0.1382722508201144
tgbn-genre,tgat,full,1,1.0,12345,none,0,1.0,54321,0.001,0.0001,1.0,1,10000,stride,25,0.5,42,ndcg,0.011359462199328815,0.011359462199328815,0.46981612013858787,0.021370006817512208,10000,15,9985,160,0.016676324646156482,0.016676324646156482,0.4786033848862919,0.02079291121155586,0.013203104352554552,0.013203104352554552,0.4619522350140453,0.01987413170864034
tgbn-genre,dyrep,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.2993496054414447,0.2993496054414447,0.76393709187052,0.05682374944824586,10000,15,9985,160,0.21838102211710173,0.21838102211710173,0.689083158830414,0.03283795946018724,0.2983081080554588,0.2983081080554588,0.7098138102286797,0.12192320841617353
tgbn-genre,evolvegcn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.3443067570047355,0.3443067570047355,0.7984447653532154,0.1358136719867571,10000,15,9985,160,0.2551768466101858,0.2551768466101858,0.6682706501868958,0.03091267058061646,0.3580984091839065,0.3580984091839065,0.7730581922677109,0.16526496318945358
tgbn-genre,sage,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.34038130880341716,0.34038130880341716,0.7708676184431567,0.0667540646911523,10000,15,9985,160,0.2831723696448242,0.2831723696448242,0.7189455064710231,0.0389335933307551,0.35208744312761536,0.35208744312761536,0.728145673234655,0.14439062657391283
tgbn-trade,tgn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.04695874858369875,0.04695874858369875,0.5154829590085359,0.3367169267045982,2315,3,2312,3,0.04655162524933671,0.04655162524933671,0.4393460072081772,0.21933675655538867,0.03343455997262591,0.03343455997262591,0.529340346726876,0.3445569870179514
tgbn-trade,tgat,full,1,1.0,12345,none,0,1.0,54321,0.001,0.0001,1.0,1,10000,stride,25,0.5,42,ndcg,0.057660752793149736,0.057660752793149736,0.4745829750603835,0.3303469953098422,2315,3,2312,3,0.03130482860153523,0.03130482860153523,0.48117273290625756,0.23710076627176963,0.048476455537939465,0.048476455537939465,0.4763503733477539,0.32401153443588937
tgbn-trade,dyrep,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.06004867861736159,0.06004867861736159,0.5355693862014921,0.35318774279189935,2315,3,2312,3,0.06853184537644548,0.06853184537644548,0.43360260621599717,0.22229970989914538,0.06643795950592778,0.06643795950592778,0.5390522975423185,0.3592835957414329
tgbn-trade,evolvegcn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.06426531377144035,0.06426531377144035,0.5101427868720894,0.3406295468521524,2315,3,2312,3,0.0411492468692932,0.0411492468692932,0.4303875112218901,0.2109071650323615,0.06727239280942138,0.06727239280942138,0.5284165001166113,0.3603640058675194
tgbn-trade,sage,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.01268104258407041,0.01268104258407041,0.48634701342042524,0.3148891490577767,2315,3,2312,3,0.012424299688542084,0.012424299688542084,0.4193357801402277,0.20935575450020022,0.011061831700882865,0.011061831700882865,0.48242527047395395,0.30961989117189515
tgbn-genre,tgn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.3101293676476503,0.3101293676476503,0.7679869176253851,0.056460755009514245,10000,15,9985,160,0.21243718158994057,0.21243718158994057,0.6461050143680305,0.028003818107393365,0.2973339115756425,0.2973339115756425,0.721952929404641,0.13745006547238087
tgbn-genre,tgat,full,1,1.0,12345,none,0,1.0,54321,0.001,0.0001,1.0,1,10000,stride,25,0.5,42,ndcg,0.01243170982419952,0.01243170982419952,0.5319378579371832,0.02439967314933223,10000,15,9985,160,0.01195729742934018,0.01195729742934018,0.5493744749257952,0.024450363344935562,0.013510426670819501,0.013510426670819501,0.5330677478263492,0.02282564930887783
tgbn-genre,dyrep,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.3270787090042856,0.3270787090042856,0.7673753129303491,0.05840458803125557,10000,15,9985,160,0.22309367484706305,0.22309367484706305,0.6500841854133822,0.02867345311438048,0.3435437987522206,0.3435437987522206,0.7236404037730719,0.14730914899291667
tgbn-genre,evolvegcn,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.34279534510449533,0.34279534510449533,0.8016953359109957,0.1426296839180726,10000,15,9985,160,0.23346149179881906,0.23346149179881906,0.6665622501200198,0.03033580166337416,0.34213764498771515,0.34213764498771515,0.7856155145258173,0.16655256275516286
tgbn-genre,sage,full,1,1.0,12345,none,0,1.0,54321,0.001,0.001,1.0,1,10000,stride,25,0.5,42,ndcg,0.33572146822178417,0.33572146822178417,0.7672214542897288,0.0656570449918089,10000,15,9985,160,0.2785314931380784,0.2785314931380784,0.7037643986963407,0.03684033718858331,0.3388830985821936,0.3388830985821936,0.7272800698391755,0.13862484808534295
